date,open,high,low,close,volume
2025-09-15 09:00:00,49800,50800,49500,49500,762016
2025-09-16 09:00:00,50300,50500,49200,49200,738049
2025-09-17 09:00:00,49550,50400,49150,49750,455056
2025-09-18 09:00:00,50000,50600,49350,50600,458044
2025-09-19 09:00:00,50500,50600,49750,49750,449408
2025-09-22 09:00:00,49850,50500,49550,49550,358570
2025-09-23 09:00:00,49750,49950,49250,49650,374300
2025-09-24 09:00:00,50300,50500,48300,48550,521001
2025-09-25 09:00:00,48800,50200,48800,50100,526692
2025-09-26 09:00:00,49500,49550,48050,48100,472959
2025-09-29 09:00:00,48700,48700,47600,48400,315622
2025-09-30 09:00:00,48200,48250,47450,47450,320641
2025-10-01 09:00:00,47650,47850,46900,47200,333265
2025-10-02 09:00:00,47450,48250,47350,47350,455731
2025-10-10 09:00:00,47350,47450,46000,46550,591058
2025-10-13 09:00:00,45900,49150,45550,48600,817657
2025-10-14 09:00:00,49000,51100,48500,50400,1247871
2025-10-15 09:00:00,50500,50700,49550,50600,439055
2025-10-16 09:00:00,50700,57700,50400,57700,2693674
2025-10-17 09:00:00,61600,73900,59400,73300,11077590
2025-10-20 09:00:00,74800,80300,70700,77700,7848219
2025-10-21 09:00:00,77200,81700,74100,75900,4655287
2025-10-22 09:00:00,79800,88500,78700,87400,7354068
2025-10-23 09:00:00,87200,87200,81500,81500,2106961
2025-10-24 09:00:00,83900,89100,83900,88300,2405485
2025-10-27 09:00:00,91300,94100,89700,93800,2529060
2025-10-28 09:00:00,96700,98400,90300,97200,3167748
2025-10-29 09:00:00,95500,95800,91500,93100,1769813
2025-10-30 09:00:00,92700,98700,89000,89200,2829987
2025-10-31 09:00:00,86800,92300,86500,88000,2076158
2025-11-03 09:00:00,91400,96000,88100,94800,2687046
2025-11-04 09:00:00,100000,102400,94300,95700,2905365
2025-11-05 09:00:00,92800,96300,87300,92800,6536141
2025-11-06 09:00:00,97000,100900,93100,93200,5661883
2025-11-07 09:00:00,90400,94800,87100,87200,3748283
2025-11-10 09:00:00,88400,89800,82900,87900,4222485
2025-11-11 09:00:00,89300,99800,89100,94100,12469599
2025-11-12 09:00:00,95500,95900,92400,93600,2934215
2025-11-13 09:00:00,92400,95900,91700,94700,3328565
2025-11-14 09:00:00,91300,93800,89700,89900,2562326
2025-11-17 09:00:00,91200,92000,87300,88200,2118696
2025-11-18 09:00:00,88800,90100,81600,81600,3490767
2025-11-19 09:00:00,81700,83100,78700,79300,2668789
2025-11-20 09:00:00,81200,85600,80600,83100,2748517
2025-11-21 09:00:00,78500,81900,78500,78800,1613229
2025-11-24 09:00:00,79700,80000,74100,75300,2486630
2025-11-25 09:00:00,78000,78700,76000,76100,945074
2025-11-26 09:00:00,76600,84100,76000,83500,3702745
